rowNumber,sku,status,imageUrl,sourceImageUrl,reason,productUrl
"10254","SRV7060-009","updated","/products/parts/srv7060-009.jpg","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/41534/67925/SRV7060-148-1__19508.1756406741.jpg?c=2","score=10","https://www.stove-parts-unlimited.com/quadra-fire-explorer-iii-shroud-assembly-srv7060-009-p/srv7060-009.htm"
"10255","TUPGM-12","updated","/products/parts/tupgm-12.jpg","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/15820/64042/TUPGT-12-01__54130.1719608991.jpg?c=2","score=10","https://www.stove-parts-unlimited.com/hht-touch-up-paint-gun-metal-tupgm-12-p/tupgm-12.htm"
"10256","71D1004K","no-real-photo","","","candidates were placeholders or failed download","https://www.stove-parts-unlimited.com/hht-bottom-left-firebox-71d1004k-p/71d1004k.htm"
"10257","54D0908TK","no-real-photo","","","candidates were placeholders or failed download","https://www.stove-parts-unlimited.com/majestic-bottom-textured-louver-assembly-54d0908tk-p/54d0908tk.htm"
"10258","4042-738","updated","/products/parts/4042-738.jpg","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/31577/53347/4042-760-1__48219.1630941322.jpg?c=2","score=10","https://www.stove-parts-unlimited.com/heatilator-icon-series-left-refractory-panel-traditional-4042-738-p/4042-738.htm"
"10259","DM1736S","updated","/products/parts/dm1736s.jpg","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/37850/61785/DM100-3__10890.1710881687.jpg?c=2","score=10","https://www.stove-parts-unlimited.com/majestic-sovereign-series-original-bi-fold-glass-doors-w-stainless-steel-trim-dm1736s-p/dm1736s.htm"
"10260","4-00-250102A","updated","/products/parts/4-00-250102a.jpg","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/39428/66655/3-00-586144A-01__88612.1750437637.jpg?c=2","score=10","https://www.stove-parts-unlimited.com/vermont-castings-dauntless-flexburn-flue-collar-classic-black-4-00-250102a-p/4-00-250102a.htm"
"10261","7062-103PBK","no-real-photo","","","candidates were placeholders or failed download","https://www.stove-parts-unlimited.com/quadra-fire-explorer-i-front-porcelain-black-7062-103pbk-p/7062-103pbk.htm"
"10262","30006760A","no-real-photo","","","candidates were placeholders or failed download","https://www.stove-parts-unlimited.com/vermont-castings-intrepid-left-end-new-bordeaux-30006760a-p/30006760a.htm"
"10263","18D0402","updated","/products/parts/18d0402.jpg","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/1669/22042/1__13962.1521237195.jpg?c=2","score=10","https://www.stove-parts-unlimited.com/hht-piezo-bracket-kit-18d0402-p/18d0402.htm"
